topic_num,model,f1,acc
5,CNN,0.8250258304775017,0.8247808697132158
5,CNN_GRU,0.8317917293932853,0.8312484043911157
5,GRU,0.843089322101626,0.842906986639435
5,MNB,0.8369462980932321,0.8367798485235299
5,SVC,0.8417358245145782,0.8414603012509574
10,CNN,0.7871449602989866,0.7873885972408742
10,CNN_GRU,0.7931747071670552,0.7926382615065316
10,GRU,0.7981752772846709,0.797887925772189
10,MNB,0.7915691346941598,0.7912953241362471
10,SVC,0.8059057249359648,0.8060676352093762
15,CNN,0.7464574086471102,0.7435439848834768
15,CNN_GRU,0.7478738318477715,0.7461683812723073
15,GRU,0.7641298140341862,0.761074952760865
15,MNB,0.7547952318183443,0.7510497585555322
15,SVC,0.7634911559562338,0.7610224648330884
20,CNN,0.7364587422097737,0.734602463605823
20,CNN_GRU,0.7485654262183328,0.7425385851307269
20,GRU,0.760233649315394,0.7564633136958956
20,MNB,0.7416191796573968,0.7379619260918253
20,SVC,0.7584881407373462,0.7559277472126199
